english,spanish,policy,domain,note
Password,contraseña,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Save,Guardar,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Screen,pantalla,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Search,Buscar,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Send,Enviar,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Size,tamaño,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
User,usuario,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Version,versión,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Window,ventana,TRANSLATE,ui,everyday Spanish equivalent; verbs and common nouns stay Spanish
Branch,Branch,KEEP,vcs,American technical term; Mexican devs say the English word
Checkout,Checkout,KEEP,vcs,American technical term; Mexican devs say the English word
Commit,Commit,KEEP,vcs,American technical term; Mexican devs say the English word
Diff,Diff,KEEP,vcs,American technical term; Mexican devs say the English word
Fork,Fork,KEEP,vcs,American technical term; Mexican devs say the English word
Merge,Merge,KEEP,vcs,American technical term; Mexican devs say the English word
Pull,Pull,KEEP,vcs,American technical term; Mexican devs say the English word
Pull Request,Pull Request,KEEP,vcs,American technical term; Mexican devs say the English word
Push,Push,KEEP,vcs,American technical term; Mexican devs say the English word
Rebase,Rebase,KEEP,vcs,American technical term; Mexican devs say the English word
Remote,Remote,KEEP,vcs,American technical term; Mexican devs say the English word
Repo,Repo,KEEP,vcs,American technical term; Mexican devs say the English word
Repository,Repository,KEEP,vcs,American technical term; Mexican devs say the English word
Stash,Stash,KEEP,vcs,American technical term; Mexican devs say the English word
Tag,Tag,KEEP,vcs,American technical term; Mexican devs say the English word
Upstream,Upstream,KEEP,vcs,American technical term; Mexican devs say the English word
API,API,KEEP,web,American technical term; Mexican devs say the English word
Endpoint,Endpoint,KEEP,web,American technical term; Mexican devs say the English word
Gateway,Gateway,KEEP,web,American technical term; Mexican devs say the English word
Header,Header,KEEP,web,American technical term; Mexican devs say the English word
Payload,Payload,KEEP,web,American technical term; Mexican devs say the English word
Polling,Polling,KEEP,web,American technical term; Mexican devs say the English word
Proxy,Proxy,KEEP,web,American technical term; Mexican devs say the English word
Query,Query,KEEP,web,American technical term; Mexican devs say the English word
Rate limit,Rate limit,KEEP,web,American technical term; Mexican devs say the English word
Request,Request,KEEP,web,American technical term; Mexican devs say the English word
Response,Response,KEEP,web,American technical term; Mexican devs say the English word
REST,REST,KEEP,web,American technical term; Mexican devs say the English word
Socket,Socket,KEEP,web,American technical term; Mexican devs say the English word
Status code,Status code,KEEP,web,American technical term; Mexican devs say the English word
Streaming,Streaming,KEEP,web,American technical term; Mexican devs say the English word
Token,Token,KEEP,web,American technical term; Mexican devs say the English word
Webhook,Webhook,KEEP,web,American technical term; Mexican devs say the English word
WebSocket,WebSocket,KEEP,web,American technical term; Mexican devs say the English word
